id,year,sys,fis,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,value,cluster
171,2021,18,4,80,0,7900,0,8120,98280,9040,29640,13560,9040,12900,188480,0
172,2022,36,11,53,0,34190,15800,37040,13560,7370,37100,27810,9040,6450,188360,0
173,2022,9,1,127,0,13440,0,8120,32800,22000,24500,22000,9000,24500,156360,0
174,2021,45,15,61,0,0,0,0,86380,48900,0,52240,0,0,187520,1
175,2022,16,4,69,0,7900,0,8120,98280,16370,10000,4520,4520,21720,171430,0
176,2022,15,2,90,0,26880,13440,0,65600,18000,14410,13520,13520,21720,187090,0
177,2022,12,4,78,0,13440,13440,0,98280,9000,3550,22000,9000,17310,186020,0
178,2022,9,1,125,0,26900,26900,13870,16340,22000,24500,22000,22000,10860,185370,0
179,2022,39,12,61,0,0,0,0,72820,37540,16450,14740,19220,24410,185180,4
180,2022,8,1,95,0,26900,26900,0,16340,22000,24500,22000,22000,24500,185140,0
181,2022,13,2,83,0,0,0,0,49140,31000,30950,13520,9040,35360,169010,4
182,2022,20,3,64,0,0,0,8120,76300,18040,20860,11890,9040,23760,168010,4
183,2022,14,2,74,0,14030,7900,8120,65600,13520,21720,31000,0,21720,183610,0
184,2022,8,1,95,0,26900,26900,27750,0,22000,24500,9000,22000,24500,183550,0
185,2022,8,1,80,0,26900,13440,27750,0,22000,24500,22000,22000,24500,183090,0
186,2022,9,1,107,0,13440,13440,8120,32800,22000,24500,22000,22000,24500,182800,0
187,2022,8,1,105,0,26900,26900,13870,0,22000,24500,22000,22000,24500,182670,0
188,2022,13,1,78,6300,26900,13440,13870,16340,9000,24500,9000,9000,10860,139210,0
189,2022,52,17,53,0,0,0,0,80220,48450,3550,48450,0,0,180670,1
190,2020,9,1,110,0,26900,13440,0,32800,22000,24500,9000,9000,10860,148500,0
191,2022,11,1,88,18000,13440,13440,8120,32800,22000,24500,9000,9000,24500,174800,0
192,2022,18,5,56,0,6130,0,0,131080,19260,0,5700,0,17750,179920,4
193,2022,9,1,142,18000,13440,26900,0,0,22000,24500,22000,22000,24500,173340,0
194,2022,16,2,76,0,26880,15800,16240,0,9040,49000,18000,9040,35360,179360,0
195,2022,17,5,73,0,0,0,0,98160,45000,25060,4520,0,6450,179190,4
196,2022,13,6,69,0,13440,7900,8120,81700,22000,7920,4520,9000,24500,179100,0
197,2022,9,1,74,0,26900,7900,13870,32800,22000,24500,22000,4520,24500,178990,0
198,2022,16,3,83,0,0,0,0,40700,13560,41810,22520,4520,23760,146870,4
199,2022,28,7,62,0,7900,13440,6340,46840,23070,24500,9000,9000,32160,172250,0
200,2022,16,2,85,18000,7900,7900,13870,32800,26520,17310,11850,9000,10860,156010,0
201,2022,8,1,75,0,26900,13440,27750,32800,22000,0,9000,22000,24500,178390,0
202,2022,10,1,194,0,13440,13440,8120,32800,22000,24500,22000,9000,24500,169800,0
203,2021,20,6,61,0,7900,7900,8120,89600,27120,17310,4520,4520,10860,177850,0
204,2022,8,1,75,9000,26900,26900,0,0,22000,24500,22000,22000,24500,177800,0
205,2022,10,1,104,18000,26900,13440,8120,0,22000,24500,9000,22000,24500,168460,0
206,2022,9,1,77,0,26900,13440,13870,0,22000,24500,22000,22000,24500,169210,0
207,2022,22,10,56,0,0,0,0,126520,39660,6450,2850,0,0,175480,1
208,2022,11,2,105,0,7900,13440,8120,32800,9000,24500,22000,9000,10860,137620,0
209,2020,10,1,177,18000,13440,13440,8120,32800,22000,24500,9000,9000,24500,174800,0
210,2022,7,1,90,0,26900,26900,27750,0,0,24500,22000,22000,24500,174550,0
211,2022,9,1,95,18000,26900,13440,13870,0,22000,24500,22000,9000,24500,174210,0
212,2022,9,1,210,18000,26900,26900,13870,0,22000,10860,9000,22000,24500,174030,0
213,2022,11,2,136,0,13440,7900,8120,32800,22000,30950,22000,5970,24500,167680,0
214,2022,16,2,73,0,26880,21340,13870,7900,13520,21720,9000,18000,35360,167590,0
215,2022,11,1,108,0,13440,13440,13870,32800,22000,10860,9000,22000,24500,161910,0
216,2022,12,2,88,18000,13440,7900,8120,32680,22000,24500,9000,4520,24500,164660,0
217,2022,9,1,70,0,26900,13440,13870,16340,9000,24500,22000,22000,24500,172550,0
218,2022,8,1,70,0,26900,26900,0,16340,22000,24500,9000,22000,24500,172140,0
219,2022,22,7,55,0,0,0,0,108860,19950,10860,2850,0,29220,171740,4
220,2022,13,4,74,0,7900,7900,0,29900,22000,24500,22000,22000,10860,147060,0
221,2022,9,2,100,0,0,0,0,49140,31000,35360,22000,9000,24500,171000,4
222,2022,11,3,82,0,0,0,0,81940,4520,59860,7370,0,17310,171000,4
223,2022,10,1,87,6300,7900,13440,8120,32800,22000,24500,22000,9000,24500,170560,0
224,2022,8,1,85,0,26900,26900,27750,0,9000,24500,9000,22000,24500,170550,0
225,2022,10,1,69,0,26900,26900,13870,7900,22000,10860,9000,22000,24500,163930,0
226,2022,18,5,58,0,0,7900,0,92520,22600,0,4520,5970,36660,170170,4
227,2022,14,2,102,6300,9750,9750,6340,32800,24850,24500,5970,5970,24500,150730,0
228,2022,15,3,75,0,26880,26880,27740,0,18000,10860,9000,18000,32580,169940,0
229,2022,16,2,61,9000,21340,7900,8120,43500,26520,10860,9000,4520,6450,147210,0
230,2022,8,1,85,0,26900,26900,13870,0,22000,24500,22000,9000,24500,169670,0
231,2022,18,2,66,0,26880,21340,21990,24240,13520,17310,13520,13520,17310,169630,0
232,2021,46,23,46,0,0,0,0,103960,65550,0,0,0,0,169510,1
233,2021,8,1,75,0,26900,26900,27750,0,22000,10860,22000,22000,10860,169270,0
234,2022,8,1,80,0,26900,13440,13870,0,22000,24500,22000,22000,24500,169210,0
235,2022,10,1,75,0,13440,0,13870,32800,22000,24500,22000,4520,24500,157630,0
236,2022,11,3,72,0,13440,13440,8120,76300,4520,24500,9000,9000,10860,169180,0
237,2021,9,1,82,0,13440,13440,8120,32800,22000,24500,22000,22000,10860,169160,0
238,2022,7,1,85,0,26900,26900,0,0,22000,24500,22000,22000,24500,168800,0
239,2022,7,1,70,0,26900,26900,0,0,22000,24500,22000,22000,24500,168800,0
240,2022,7,1,100,0,26900,26900,0,0,22000,24500,22000,22000,24500,168800,0
241,2022,16,5,74,0,13440,13440,8120,64940,22520,0,9040,9000,28170,168670,0
242,2022,17,4,67,0,7900,13440,8120,70000,18040,0,13520,13520,23760,168300,0
243,2022,31,11,53,0,7900,7900,6340,68300,37500,6450,2850,4520,25270,167030,0
244,2022,21,3,62,0,15800,15800,8120,16340,18040,41810,18040,13560,19350,166860,0
245,2022,26,3,53,0,23780,23780,24510,18600,13340,17920,13340,13340,17920,166530,0
246,2022,18,5,214,0,51420,33030,34090,4520,30550,3550,2850,2850,3550,166410,0
247,2022,14,5,69,0,26900,26900,16240,0,18000,20860,13520,22000,21720,166140,0
248,2022,25,6,54,0,0,0,8120,78320,23250,7100,5700,4520,28610,155620,4
249,2022,23,7,55,0,53760,31600,24360,0,16410,0,0,16410,22900,165440,0
250,2022,18,4,60,0,13440,13440,8120,53120,19220,6450,11890,22000,17310,164990,0
251,2022,16,3,71,0,13440,7900,8120,49020,18040,37400,9000,4520,10860,158300,0
252,2022,8,1,125,0,26900,13440,13870,32800,22000,0,22000,9000,24500,164510,0
253,2022,10,1,90,0,13440,13440,13870,32800,22000,10860,22000,9000,10860,148270,0
254,2022,8,2,114,0,26900,15800,27750,0,0,49000,44000,0,0,163450,3
255,2022,17,3,59,0,7900,15800,0,65480,9040,21720,18040,9040,15840,162860,0
256,2022,9,1,82,0,26900,13440,13870,0,22000,24500,9000,22000,24500,156210,0
257,2022,10,1,79,0,26900,7900,13870,0,9000,24500,22000,9000,10860,124030,0
258,2022,8,1,87,0,0,0,0,32800,22000,24500,9000,4520,24500,117320,4
259,2022,9,1,185,0,26900,13440,13870,32800,22000,10860,22000,9000,10860,161730,0
260,2022,26,5,63,0,0,0,0,36660,25410,20000,28220,25370,25800,161460,4
261,2022,13,2,75,0,13440,0,8120,65600,26520,6450,13520,10490,17310,161450,0
262,2022,26,6,56,0,7900,7900,0,50200,28570,27270,27120,4520,7920,161400,0
263,2022,16,2,56,0,6130,7900,8120,49140,13520,24500,9040,9040,17310,144700,0
264,2022,21,6,52,0,0,0,0,86220,25450,29350,2850,0,16450,160320,4
265,2022,26,5,55,0,0,0,0,64400,22600,25060,22600,4520,20650,159830,4
266,2022,14,4,68,0,7900,13440,8120,7900,13520,59860,18000,9000,21720,159460,0
267,2022,15,2,118,0,13440,7900,8120,49140,26520,6450,13520,9040,17310,151440,0
268,2022,14,2,65,0,13440,13440,8120,49140,11850,35360,11850,4520,11470,159190,0
269,2021,10,1,85,0,13440,13440,13870,16340,9000,24500,22000,9000,24500,146090,0
270,2020,29,9,53,0,0,0,0,79540,40680,0,27320,4520,6450,158510,4
271,2022,21,3,47,0,21930,20160,22580,49020,10490,6450,13560,7370,6450,158010,0
272,2022,38,9,46,0,6130,0,0,60960,27320,31950,27320,0,3550,157230,4
273,2022,9,1,81,18000,7900,0,8120,7900,22000,24500,22000,22000,24500,156920,0
274,2022,9,1,97,0,13440,13440,8120,32800,22000,24500,9000,9000,24500,156800,0
275,2020,16,4,52,0,7900,7900,8120,81820,18080,6450,4520,4520,17310,156620,0
276,2021,9,1,122,0,26900,13440,8120,32800,22000,10860,9000,9000,24500,156620,0
277,2022,9,1,82,0,13440,7900,13870,32800,22000,24500,22000,9000,10860,156370,0
278,2022,21,4,57,0,0,0,0,65360,18080,6450,22560,18080,25800,156330,4
279,2022,8,1,90,0,26900,13440,13870,0,22000,24500,22000,9000,24500,156210,0
280,2021,8,1,70,0,26900,13440,13870,0,22000,24500,9000,22000,24500,156210,0
281,2022,10,1,69,0,13440,7900,8120,32800,22000,24500,22000,4520,7920,143200,0
282,2022,8,1,75,0,0,9750,0,32800,22000,24500,22000,4520,24500,140070,4
283,2022,15,3,53,0,7900,7900,8120,65480,13560,10860,4520,4520,10860,133720,0
284,2022,17,2,61,0,21340,21340,13870,24240,13520,12900,13520,13520,21720,155970,0
285,2022,28,11,55,18000,13440,13440,0,53100,31620,7920,5970,5970,6450,155910,0
286,2022,7,1,180,0,26900,26900,0,0,9000,24500,22000,22000,24500,155800,0
287,2022,8,1,105,0,13440,13440,13870,0,22000,24500,22000,22000,24500,155750,0
288,2022,23,3,54,0,21930,21340,16240,7900,13560,23760,13560,13560,23760,155610,0
289,2022,11,1,68,0,13440,13440,8120,32800,22000,24500,4520,9000,10860,138680,0
290,2022,10,1,75,18000,7900,7900,8120,32800,22000,24500,22000,4520,6450,154190,0
291,2022,11,1,86,18000,9750,7900,8120,32800,22000,24500,9000,5970,10860,148900,0
292,2022,21,8,51,0,7900,7900,6340,78920,31110,3550,2850,4520,10860,153950,0
293,2022,10,1,70,18000,6130,6130,6340,32800,22000,24500,9000,4520,24500,153920,0
294,2022,14,4,78,0,19570,13440,14460,0,31000,35360,13520,9000,17310,153660,0
295,2022,9,1,142,0,26900,13440,0,16340,22000,24500,22000,9000,10860,145040,0
296,2022,14,2,73,0,7900,7900,0,49140,18000,21720,13520,13520,21720,153420,0
297,2022,11,2,78,4500,0,7900,8120,49140,22000,24500,9000,9000,10860,145020,0
298,2022,16,2,64,0,17650,7900,8120,15800,9040,49000,18000,10490,17310,153310,0
299,2021,9,1,59,0,26900,13440,8120,32800,9000,24500,9000,4520,24500,152780,0
300,2022,17,5,62,18000,0,0,0,68880,35070,6450,10220,2850,10860,152330,4
301,2022,8,1,73,0,26900,26900,10050,0,22000,24500,22000,9000,10860,152210,0
302,2022,14,2,66,0,15800,0,0,65600,18000,12900,13520,9040,17310,152170,4
303,2022,17,9,62,18000,0,0,0,73900,22000,6450,4520,4520,6450,135840,4
304,2022,13,1,62,4500,13440,13440,13870,16340,9000,10860,9000,9000,10860,110310,0
305,2022,10,1,61,0,26900,13440,8120,7900,22000,24500,9000,9000,24500,145360,0
306,2022,13,1,65,4500,13440,13440,13870,7900,9000,24500,9000,9000,24500,129150,0
307,2022,9,1,70,9000,26900,13440,13870,0,22000,24500,22000,9000,10860,151570,0
308,2022,8,1,72,0,26900,26900,13870,0,4520,24500,22000,22000,10860,151550,0
309,2022,27,8,49,9000,6130,9750,10050,51920,19950,10860,9000,0,24850,151510,0
310,2022,12,3,47,6300,7900,6130,8120,98400,5970,6450,2850,2850,6450,151420,0
311,2022,9,1,79,0,7900,13440,8120,32800,22000,24500,9000,9000,24500,151260,0
312,2022,9,1,74,0,26900,7900,8120,32800,22000,24500,9000,9000,10860,151080,0
